group_model,condition,topic_id,model_a,model_b,role_a,role_b,seed,conv_id,group_index,task_index
qwen2.5-3b,self_play,death_penalty,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__92713bbdfa,0,1
qwen2.5-3b,self_play,death_penalty,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__2bf7065238,0,0
qwen2.5-3b,self_play,electric_vehicles,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__38c5d38eb6,0,9
qwen2.5-3b,self_play,electric_vehicles,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__41ddb7262d,0,8
qwen2.5-3b,self_play,four_day_workweek,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__33532607ea,0,5
qwen2.5-3b,self_play,four_day_workweek,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__3e24f5fca2,0,4
qwen2.5-3b,self_play,free_college,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__free_college__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__a782e47536,0,15
qwen2.5-3b,self_play,free_college,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__free_college__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__a71a078251,0,14
qwen2.5-3b,self_play,medical_marijuana,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__6f9a00d75c,0,3
qwen2.5-3b,self_play,medical_marijuana,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__b183f628dd,0,2
qwen2.5-3b,self_play,school_uniforms,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__347662a25e,0,11
qwen2.5-3b,self_play,school_uniforms,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__d036827e7a,0,10
qwen2.5-3b,self_play,social_media,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__social_media__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__53010ab7a4,0,7
qwen2.5-3b,self_play,social_media,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__social_media__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__c424c76bff,0,6
qwen2.5-3b,self_play,zoos,qwen2.5-3b,qwen2.5-3b,opposer,supporter,0,q1__zoos__self_play__qwen2_5_3b__qwen2_5_3b__opp_sup__s0__531275db55,0,13
qwen2.5-3b,self_play,zoos,qwen2.5-3b,qwen2.5-3b,supporter,opposer,0,q1__zoos__self_play__qwen2_5_3b__qwen2_5_3b__sup_opp__s0__d547fc4faf,0,12
qwen2.5-7b,mixed_play,death_penalty,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__26714bb458,1,33
qwen2.5-7b,mixed_play,death_penalty,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__a1630852db,1,32
qwen2.5-7b,mixed_play,electric_vehicles,qwen2.5-7b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__qwen2_5_7b__qwen2_5_3b__opp_sup__s0__df37d10c5b,1,41
qwen2.5-7b,mixed_play,electric_vehicles,qwen2.5-7b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__qwen2_5_7b__qwen2_5_3b__sup_opp__s0__077698ee88,1,40
