conv_id,turn,perceived_persona_warmth,perceived_persona_dominance,perceived_persona_curiosity,perceived_persona_structure,perceived_persona_stability,perceived_persona_deference,perceived_persona_humility,emotional_tone,realized_move,apparent_objective,response_implied_expected_reaction
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,1,2.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,synthesize,clarify,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,2,2.0,2.0,2.0,3.0,2.0,2.0,2.0,mixed,clarify,explore,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,3,1.0,2.0,0.0,3.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,4,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,5,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,6,1.0,2.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,7,2.0,2.0,1.0,3.0,3.0,1.0,0.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,8,1.0,2.0,1.0,3.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,9,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,10,2.0,2.0,1.0,2.0,3.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,11,2.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,clarify,resolve,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,12,1.0,2.0,1.0,3.0,3.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,13,1.0,2.0,1.0,2.0,3.0,1.0,2.0,mixed,clarify,resolve,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,14,1.0,3.0,0.0,2.0,2.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,15,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,16,2.0,3.0,2.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,17,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,18,1.0,2.0,1.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,19,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,uncertain
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,20,1.0,2.0,1.0,3.0,4.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,21,1.0,3.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,22,1.0,2.0,1.0,3.0,2.0,1.0,0.0,mixed,synthesize,defend,agreement
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,23,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,24,1.0,3.0,0.0,4.0,3.0,0.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,25,2.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,26,1.0,2.0,1.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,27,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,synthesize,accommodate,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,28,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,29,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,30,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,31,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,1,1.0,2.0,1.0,2.0,2.0,3.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,2,2.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,3,1.0,3.0,2.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,escalation
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,4,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,5,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,6,2.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,assert,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,7,1.0,2.0,2.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,8,1.0,2.0,0.0,2.0,2.0,1.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,9,1.0,2.0,1.0,3.0,3.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,10,1.0,2.0,0.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,11,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,12,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,13,1.0,2.0,2.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,14,2.0,3.0,2.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,15,1.0,3.0,1.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,16,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,17,2.0,3.0,1.0,3.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,18,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,19,1.0,2.0,1.0,2.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,20,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,21,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,22,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,23,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
