conv_id,turn,annotator_id,perceived_persona_warmth,perceived_persona_dominance,perceived_persona_curiosity,perceived_persona_structure,perceived_persona_stability,perceived_persona_deference,perceived_persona_humility,emotional_tone,realized_move,apparent_objective,response_implied_expected_reaction
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,0,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,clarify,challenge,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,1,gpt_pass_1,2.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,synthesize,clarify,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,2,gpt_pass_1,2.0,2.0,2.0,3.0,2.0,2.0,2.0,mixed,clarify,explore,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,3,gpt_pass_1,1.0,2.0,0.0,3.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,4,gpt_pass_1,1.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,5,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,6,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,0.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,7,gpt_pass_1,2.0,2.0,1.0,3.0,3.0,1.0,0.0,mixed,clarify,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,8,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,9,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,10,gpt_pass_1,2.0,2.0,1.0,2.0,3.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,11,gpt_pass_1,2.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,clarify,resolve,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,12,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,13,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,1.0,2.0,mixed,clarify,resolve,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,14,gpt_pass_1,1.0,3.0,0.0,2.0,2.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,15,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,16,gpt_pass_1,2.0,3.0,2.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,17,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,18,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,19,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,uncertain
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,20,gpt_pass_1,1.0,2.0,1.0,3.0,4.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,21,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,22,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,0.0,mixed,synthesize,defend,agreement
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,23,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,24,gpt_pass_1,1.0,3.0,0.0,4.0,3.0,0.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,25,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,26,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,27,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,synthesize,accommodate,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,28,gpt_pass_1,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,29,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,30,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__opp_sup__s0__446cc3454f,31,gpt_pass_1,1.0,2.0,1.0,3.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,0,gpt_pass_1,1.0,3.0,0.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,1,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,3.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,2,gpt_pass_1,2.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,3,gpt_pass_1,1.0,3.0,2.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,escalation
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,4,gpt_pass_1,1.0,3.0,1.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,5,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,6,gpt_pass_1,2.0,2.0,1.0,3.0,3.0,2.0,1.0,mixed,assert,defend,clarification
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,7,gpt_pass_1,1.0,2.0,2.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,8,gpt_pass_1,1.0,2.0,0.0,2.0,2.0,1.0,0.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,9,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,10,gpt_pass_1,1.0,2.0,0.0,2.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,11,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,12,gpt_pass_1,2.0,3.0,1.0,3.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,13,gpt_pass_1,1.0,2.0,2.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,14,gpt_pass_1,2.0,3.0,2.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,15,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,2.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,16,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,17,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,18,gpt_pass_1,1.0,3.0,1.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,19,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,20,gpt_pass_1,1.0,2.0,1.0,3.0,3.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,21,gpt_pass_1,1.0,3.0,0.0,2.0,2.0,1.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,22,gpt_pass_1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,23,gpt_pass_1,1.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,24,gpt_pass_1,2.0,2.0,1.0,2.0,3.0,2.0,1.0,mixed,clarify,defend,uncertain
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,25,gpt_pass_1,2.0,3.0,1.0,3.0,3.0,1.0,2.0,mixed,rebut,challenge,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,26,gpt_pass_1,2.0,3.0,2.0,3.0,2.0,2.0,1.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,27,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,1.0,mixed,rebut,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,28,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,assert,defend,rebuttal
q1__death_penalty__mixed_play__gemma2_9b__qwen2_5_3b__sup_opp__s0__48ada19288,29,gpt_pass_1,1.0,3.0,1.0,2.0,2.0,1.0,2.0,mixed,rebut,defend,rebuttal
